Formulation,Formulation_ID,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Form_comment
T0052_kuzminich2024_fig5_brain_cat_vs_mod_cKK_E12,T0052_kuzminich2024_fig5_brain_cat_vs_mod_cKK_E12,35.0,16.0,46.5,2.5,DDAB_cholesterol,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0053_ma2020_NT_lipidoids_NT1_O12B,T0053_ma2020_NT_lipidoids_NT1_O12B,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; default_10_imputed; original_lipid_molar_ratio=10:1 w/w NT1-O12B:DiR dye formulation
T0054_ma2020_NT_lipidoids_NT1_O14B,T0054_ma2020_NT_lipidoids_NT1_O14B,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; default_10_imputed; original_lipid_molar_ratio=10:1 w/w NT1-O14B:DiR dye formulation
T0055_ma2020_NT_lipidoids_NT1_O16B,T0055_ma2020_NT_lipidoids_NT1_O16B,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; default_10_imputed; original_lipid_molar_ratio=10:1 w/w NT1-O16B:DiR dye formulation
T0056_ma2020_NT_lipidoids_NT1_O18B,T0056_ma2020_NT_lipidoids_NT1_O18B,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; default_10_imputed; original_lipid_molar_ratio=10:1 w/w NT1-O18B:DiR dye formulation
T0057_sela2025_bt_lnp_iv_fig3c_SM_102,T0057_sela2025_bt_lnp_iv_fig3c_SM_102,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0058_sela2025_bt_lnp_iv_fig3c_SM_102_Acetylcholine_LNP,T0058_sela2025_bt_lnp_iv_fig3c_SM_102_Acetylcholine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0059_sela2025_bt_lnp_iv_fig3c_SM_102_Cocaine_LNP,T0059_sela2025_bt_lnp_iv_fig3c_SM_102_Cocaine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0060_sela2025_bt_lnp_iv_fig3c_SM_102_Glucose_LNP,T0060_sela2025_bt_lnp_iv_fig3c_SM_102_Glucose_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0061_sela2025_bt_lnp_iv_fig3c_SM_102_Memantine_LNP,T0061_sela2025_bt_lnp_iv_fig3c_SM_102_Memantine_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0062_sela2025_bt_lnp_iv_fig3c_SM_102_Methylphenidate_LNP,T0062_sela2025_bt_lnp_iv_fig3c_SM_102_Methylphenidate_LNP,35.0,16.0,46.5,2.5,DOPE,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
